index,Scope,Level 1,Activity,Type,Last level,UOM,GHG/Unit,GHG Conversion Factor,Size
31821,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),Average laden,km,kg CO2e,0.11851,
31822,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>3.5 - 7.5 tonnes),Average laden,miles,kg CO2e,0.19073,
31823,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),Average laden,tonne.km,kg CO2e,0.09246,
31824,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),Average laden,km,kg CO2e,0.14453,
31825,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>7.5 tonnes-17 tonnes),Average laden,miles,kg CO2e,0.23259,
31826,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>17 tonnes),Average laden,tonne.km,kg CO2e,0.03736,
31827,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>17 tonnes),Average laden,km,kg CO2e,0.23756,
31828,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Rigid (>17 tonnes),Average laden,miles,kg CO2e,0.38231,
31829,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All rigids,Average laden,tonne.km,kg CO2e,0.04332,
318210,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All rigids,Average laden,km,kg CO2e,0.20099,
318211,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),All rigids,Average laden,miles,kg CO2e,0.32347,
318212,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>3.5 - 33t),Average laden,tonne.km,kg CO2e,0.02731,
318213,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>3.5 - 33t),Average laden,km,kg CO2e,0.18538,
318214,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>3.5 - 33t),Average laden,miles,kg CO2e,0.29835,
318215,Scope 3,WTT- delivery vehs & freight,WTT- HGV (all diesel),Articulated (>33t),Average laden,tonne.km,kg CO2e,0.01799,
