index,Scope,Level 1,Activity,Waste type,Last level,UOM,GHG/Unit,GHG Conversion Factor
31043,Scope 3,Waste disposal,Electrical items,WEEE - small,Composting,tonnes,kg CO2e,
31044,Scope 3,Waste disposal,Electrical items,Batteries,Composting,tonnes,kg CO2e,
31040,Scope 3,Waste disposal,Electrical items,WEEE - fridges and freezers,Landfill,tonnes,kg CO2e,8.98311
31041,Scope 3,Waste disposal,Electrical items,WEEE - large,Landfill,tonnes,kg CO2e,8.98311
31042,Scope 3,Waste disposal,Electrical items,WEEE - mixed,Landfill,tonnes,kg CO2e,8.98311
31043,Scope 3,Waste disposal,Electrical items,WEEE - small,Landfill,tonnes,kg CO2e,8.98311
31044,Scope 3,Waste disposal,Electrical items,Batteries,Landfill,tonnes,kg CO2e,8.98311
31040,Scope 3,Waste disposal,Electrical items,WEEE - fridges and freezers,Anaerobic digestion,tonnes,kg CO2e,
31041,Scope 3,Waste disposal,Electrical items,WEEE - large,Anaerobic digestion,tonnes,kg CO2e,
31042,Scope 3,Waste disposal,Electrical items,WEEE - mixed,Anaerobic digestion,tonnes,kg CO2e,
31043,Scope 3,Waste disposal,Electrical items,WEEE - small,Anaerobic digestion,tonnes,kg CO2e,
31044,Scope 3,Waste disposal,Electrical items,Batteries,Anaerobic digestion,tonnes,kg CO2e,
31050,Scope 3,Waste disposal,Metal,Metal: aluminium cans and foil (excl. forming),Open-loop,tonnes,kg CO2e,4.68568
31051,Scope 3,Waste disposal,Metal,Metal: mixed cans,Open-loop,tonnes,kg CO2e,4.68568
31052,Scope 3,Waste disposal,Metal,Metal: scrap metal,Open-loop,tonnes,kg CO2e,4.68568
31053,Scope 3,Waste disposal,Metal,Metal: steel cans,Open-loop,tonnes,kg CO2e,4.68568
31050,Scope 3,Waste disposal,Metal,Metal: aluminium cans and foil (excl. forming),Closed-loop,tonnes,kg CO2e,4.68568
31051,Scope 3,Waste disposal,Metal,Metal: mixed cans,Closed-loop,tonnes,kg CO2e,4.68568
31052,Scope 3,Waste disposal,Metal,Metal: scrap metal,Closed-loop,tonnes,kg CO2e,4.68568
31053,Scope 3,Waste disposal,Metal,Metal: steel cans,Closed-loop,tonnes,kg CO2e,4.68568
31050,Scope 3,Waste disposal,Metal,Metal: aluminium cans and foil (excl. forming),Incineration with energy recovery,tonnes,kg CO2e,4.68568
31051,Scope 3,Waste disposal,Metal,Metal: mixed cans,Incineration with energy recovery,tonnes,kg CO2e,4.68568
31052,Scope 3,Waste disposal,Metal,Metal: scrap metal,Incineration with energy recovery,tonnes,kg CO2e,4.68568
31053,Scope 3,Waste disposal,Metal,Metal: steel cans,Incineration with energy recovery,tonnes,kg CO2e,4.68568
31050,Scope 3,Waste disposal,Metal,Metal: aluminium cans and foil (excl. forming),Composting,tonnes,kg CO2e,
31051,Scope 3,Waste disposal,Metal,Metal: mixed cans,Composting,tonnes,kg CO2e,
31052,Scope 3,Waste disposal,Metal,Metal: scrap metal,Composting,tonnes,kg CO2e,
31053,Scope 3,Waste disposal,Metal,Metal: steel cans,Composting,tonnes,kg CO2e,
31050,Scope 3,Waste disposal,Metal,Metal: aluminium cans and foil (excl. forming),Landfill,tonnes,kg CO2e,8.98311
31051,Scope 3,Waste disposal,Metal,Metal: mixed cans,Landfill,tonnes,kg CO2e,8.98311
31052,Scope 3,Waste disposal,Metal,Metal: scrap metal,Landfill,tonnes,kg CO2e,8.98311
31053,Scope 3,Waste disposal,Metal,Metal: steel cans,Landfill,tonnes,kg CO2e,8.98311
31050,Scope 3,Waste disposal,Metal,Metal: aluminium cans and foil (excl. forming),Anaerobic digestion,tonnes,kg CO2e,
31051,Scope 3,Waste disposal,Metal,Metal: mixed cans,Anaerobic digestion,tonnes,kg CO2e,
31052,Scope 3,Waste disposal,Metal,Metal: scrap metal,Anaerobic digestion,tonnes,kg CO2e,
31053,Scope 3,Waste disposal,Metal,Metal: steel cans,Anaerobic digestion,tonnes,kg CO2e,
31060,Scope 3,Waste disposal,Plastic,Plastics: average plastics,Open-loop,tonnes,kg CO2e,4.68568
31061,Scope 3,Waste disposal,Plastic,Plastics: average plastic film,Open-loop,tonnes,kg CO2e,4.68568
31062,Scope 3,Waste disposal,Plastic,Plastics: average plastic rigid,Open-loop,tonnes,kg CO2e,4.68568
31063,Scope 3,Waste disposal,Plastic,Plastics: HDPE (incl. forming),Open-loop,tonnes,kg CO2e,4.68568
31064,Scope 3,Waste disposal,Plastic,Plastics: LDPE and LLDPE (incl. forming),Open-loop,tonnes,kg CO2e,4.68568
31065,Scope 3,Waste disposal,Plastic,Plastics: PET (incl. forming),Open-loop,tonnes,kg CO2e,4.68568
31066,Scope 3,Waste disposal,Plastic,Plastics: PP (incl. forming),Open-loop,tonnes,kg CO2e,4.68568
31067,Scope 3,Waste disposal,Plastic,Plastics: PS (incl. forming),Open-loop,tonnes,kg CO2e,4.68568
31068,Scope 3,Waste disposal,Plastic,Plastics: PVC (incl. forming),Open-loop,tonnes,kg CO2e,4.68568
31060,Scope 3,Waste disposal,Plastic,Plastics: average plastics,Closed-loop,tonnes,kg CO2e,4.68568
31061,Scope 3,Waste disposal,Plastic,Plastics: average plastic film,Closed-loop,tonnes,kg CO2e,4.68568
31062,Scope 3,Waste disposal,Plastic,Plastics: average plastic rigid,Closed-loop,tonnes,kg CO2e,4.68568
31063,Scope 3,Waste disposal,Plastic,Plastics: HDPE (incl. forming),Closed-loop,tonnes,kg CO2e,4.68568
31064,Scope 3,Waste disposal,Plastic,Plastics: LDPE and LLDPE (incl. forming),Closed-loop,tonnes,kg CO2e,4.68568
31065,Scope 3,Waste disposal,Plastic,Plastics: PET (incl. forming),Closed-loop,tonnes,kg CO2e,4.68568
31066,Scope 3,Waste disposal,Plastic,Plastics: PP (incl. forming),Closed-loop,tonnes,kg CO2e,4.68568
31067,Scope 3,Waste disposal,Plastic,Plastics: PS (incl. forming),Closed-loop,tonnes,kg CO2e,4.68568
31068,Scope 3,Waste disposal,Plastic,Plastics: PVC (incl. forming),Closed-loop,tonnes,kg CO2e,4.68568
31060,Scope 3,Waste disposal,Plastic,Plastics: average plastics,Incineration with energy recovery,tonnes,kg CO2e,4.68568
31061,Scope 3,Waste disposal,Plastic,Plastics: average plastic film,Incineration with energy recovery,tonnes,kg CO2e,4.68568
