index,Scope,Level 1,Activity,Type,Unit
16517,Scope 1,SECR kWh pass & delivery vehs,HGV (all diesel),Articulated (>33t),miles
16518,Scope 1,SECR kWh pass & delivery vehs,HGV (all diesel),All artics,tonne.km
16519,Scope 1,SECR kWh pass & delivery vehs,HGV (all diesel),All artics,km
16520,Scope 1,SECR kWh pass & delivery vehs,HGV (all diesel),All artics,miles
16521,Scope 1,SECR kWh pass & delivery vehs,HGV (all diesel),All HGVs,tonne.km
16522,Scope 1,SECR kWh pass & delivery vehs,HGV (all diesel),All HGVs,km
16523,Scope 1,SECR kWh pass & delivery vehs,HGV (all diesel),All HGVs,miles
1660,Scope 1,SECR kWh pass & delivery vehs,HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),tonne.km
1661,Scope 1,SECR kWh pass & delivery vehs,HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),km
1662,Scope 1,SECR kWh pass & delivery vehs,HGV refrigerated (all diesel),Rigid (>3.5 - 7.5 tonnes),miles
1663,Scope 1,SECR kWh pass & delivery vehs,HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),tonne.km
1664,Scope 1,SECR kWh pass & delivery vehs,HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),km
1665,Scope 1,SECR kWh pass & delivery vehs,HGV refrigerated (all diesel),Rigid (>7.5 tonnes-17 tonnes),miles
1666,Scope 1,SECR kWh pass & delivery vehs,HGV refrigerated (all diesel),Rigid (>17 tonnes),tonne.km
1667,Scope 1,SECR kWh pass & delivery vehs,HGV refrigerated (all diesel),Rigid (>17 tonnes),km
1668,Scope 1,SECR kWh pass & delivery vehs,HGV refrigerated (all diesel),Rigid (>17 tonnes),miles
1669,Scope 1,SECR kWh pass & delivery vehs,HGV refrigerated (all diesel),All rigids,tonne.km
16610,Scope 1,SECR kWh pass & delivery vehs,HGV refrigerated (all diesel),All rigids,km
16611,Scope 1,SECR kWh pass & delivery vehs,HGV refrigerated (all diesel),All rigids,miles
16612,Scope 1,SECR kWh pass & delivery vehs,HGV refrigerated (all diesel),Articulated (>3.5 - 33t),tonne.km
16613,Scope 1,SECR kWh pass & delivery vehs,HGV refrigerated (all diesel),Articulated (>3.5 - 33t),km
16614,Scope 1,SECR kWh pass & delivery vehs,HGV refrigerated (all diesel),Articulated (>3.5 - 33t),miles
16615,Scope 1,SECR kWh pass & delivery vehs,HGV refrigerated (all diesel),Articulated (>33t),tonne.km
16616,Scope 1,SECR kWh pass & delivery vehs,HGV refrigerated (all diesel),Articulated (>33t),km
16617,Scope 1,SECR kWh pass & delivery vehs,HGV refrigerated (all diesel),Articulated (>33t),miles
16618,Scope 1,SECR kWh pass & delivery vehs,HGV refrigerated (all diesel),All artics,tonne.km
16619,Scope 1,SECR kWh pass & delivery vehs,HGV refrigerated (all diesel),All artics,km
16620,Scope 1,SECR kWh pass & delivery vehs,HGV refrigerated (all diesel),All artics,miles
16621,Scope 1,SECR kWh pass & delivery vehs,HGV refrigerated (all diesel),All HGVs,tonne.km
16622,Scope 1,SECR kWh pass & delivery vehs,HGV refrigerated (all diesel),All HGVs,km
16623,Scope 1,SECR kWh pass & delivery vehs,HGV refrigerated (all diesel),All HGVs,miles
