index,Scope,Level 1,Activity,Type,Last level,UOM,GHG/Unit,GHG Conversion Factor
3423,Scope 3,UK electricity T&D for EVs,Cars (by size),Medium car,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.00157
3424,Scope 3,UK electricity T&D for EVs,Cars (by size),Large car,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.00132
3425,Scope 3,UK electricity T&D for EVs,Cars (by size),Large car,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.00212
3426,Scope 3,UK electricity T&D for EVs,Cars (by size),Average car,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.00122
3427,Scope 3,UK electricity T&D for EVs,Cars (by size),Average car,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.00197
3420,Scope 3,UK electricity T&D for EVs,Cars (by size),Small car,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,0.00249
3421,Scope 3,UK electricity T&D for EVs,Cars (by size),Small car,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00401
3422,Scope 3,UK electricity T&D for EVs,Cars (by size),Medium car,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,0.00096
3423,Scope 3,UK electricity T&D for EVs,Cars (by size),Medium car,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00154
3424,Scope 3,UK electricity T&D for EVs,Cars (by size),Large car,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,0.0013
3425,Scope 3,UK electricity T&D for EVs,Cars (by size),Large car,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00209
3426,Scope 3,UK electricity T&D for EVs,Cars (by size),Average car,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,0.0012
3427,Scope 3,UK electricity T&D for EVs,Cars (by size),Average car,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00194
3420,Scope 3,UK electricity T&D for EVs,Cars (by size),Small car,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,1e-05
3421,Scope 3,UK electricity T&D for EVs,Cars (by size),Small car,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,2e-05
3422,Scope 3,UK electricity T&D for EVs,Cars (by size),Medium car,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,1e-05
